date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:27	2947/2947	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Jun%202021%2003:08:22%20GMT	https://boxerinu.finance/img/bsctimes.png	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/img/bsctimes.png	(from https://boxerinu.finance/)
18:54:28	8756/8756	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Jun%202021%2020:34:56%20GMT	https://boxerinu.finance/img/brands/coinmaerketcap.png	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/img/brands/coinmaerketcap.png	(from https://boxerinu.finance/)
18:54:28	12448/12448	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Jun%202021%2020:37:28%20GMT	https://boxerinu.finance/img/brands/binance-smart-chain.jpg	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/img/brands/binance-smart-chain.jpg	(from https://boxerinu.finance/)
18:54:28	17338/17338	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Jun%202021%2020:36:52%20GMT	https://boxerinu.finance/img/brands/coin-gecko.jpg	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/img/brands/coin-gecko.jpg	(from https://boxerinu.finance/)
18:54:28	5917/5917	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Jun%202021%2021:48:16%20GMT	https://boxerinu.finance/img/brands/bscdaily.jpg	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/img/brands/bscdaily.jpg	(from https://boxerinu.finance/)
18:54:29	26192/26192	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Jun%202021%2021:48:34%20GMT	https://boxerinu.finance/img/brands/2L-KEmdk_400x400.png	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/img/brands/2L-KEmdk_400x400.png	(from https://boxerinu.finance/)
18:54:29	3324666/3324666	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Jun%202021%2005:26:24%20GMT	https://boxerinu.finance/img/boxer%20nft%20web%202.png	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/img/boxer%20nft%20web%202.png	(from https://boxerinu.finance/)
18:54:29	9348/9348	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Jun%202021%2021:50:48%20GMT	https://boxerinu.finance/img/brands/bsc.jpg	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/img/brands/bsc.jpg	(from https://boxerinu.finance/)
18:54:29	9539334/9539334	---M--	200	added ('OK')	application/pdf	date:Tue,%2022%20Jun%202021%2020:22:31%20GMT	https://boxerinu.finance/boxerinuwhitepaper.pdf	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/boxerinuwhitepaper.pdf	(from https://boxerinu.finance/)
18:54:29	15116/15116	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Jun%202021%2020:37:58%20GMT	https://boxerinu.finance/img/brands/tech-rate.jpg	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/img/brands/tech-rate.jpg	(from https://boxerinu.finance/)
18:54:30	128784/128784	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Jun%202021%2021:12:20%20GMT	https://boxerinu.finance/img/brands/pnglot.com-twitter-bird-logo-png-139932.png	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/img/brands/pnglot.com-twitter-bird-logo-png-139932.png	(from https://boxerinu.finance/)
18:54:30	62156/62156	---M--	200	added ('OK')	image/webp	date:Thu,%2017%20Jun%202021%2021:12:42%20GMT	https://boxerinu.finance/img/brands/Telegram_logo.svg.webp	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/img/brands/Telegram_logo.svg.webp	(from https://boxerinu.finance/)
18:54:30	7842/7842	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Jun%202021%2021:21:04%20GMT	https://boxerinu.finance/img/brands/github-icon.png	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/img/brands/github-icon.png	(from https://boxerinu.finance/)
18:54:31	85925/85925	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.5.2/jquery.min.js	C:/xampp/htdocs/boxer/boxern/ajax.googleapis.com/ajax/libs/jquery/1.5.2/jquery.min.js	(from https://boxerinu.finance/)
18:54:31	51351/51351	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f26-c897%22	https://cdnjs.cloudflare.com/ajax/libs/modernizr/2.8.2/modernizr.js	C:/xampp/htdocs/boxer/boxern/cdnjs.cloudflare.com/ajax/libs/modernizr/2.8.2/modernizr.js	(from https://boxerinu.finance/)
18:54:32	1036/1036	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2017%20Jun%202021%2016:52:10%20GMT	https://boxerinu.finance/js/preloader.js	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/js/preloader.js	(from https://boxerinu.finance/)
18:54:33	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-15283%22	http://cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	C:/xampp/htdocs/boxer/boxern/cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://boxerinu.finance/)
18:54:33	14239/14239	---MCZ	200	added ('OK')	application/javascript	etag:%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	C:/xampp/htdocs/boxer/boxern/unpkg.com/aos@2.3.1/dist/aos.js	(from https://boxerinu.finance/)
18:54:33	1107/1107	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Jun%202021%2015:54:55%20GMT	https://boxerinu.finance/js/timer.js	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/js/timer.js	(from https://boxerinu.finance/)
18:54:34	708/708	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2017%20Jun%202021%2016:57:08%20GMT	https://boxerinu.finance/js/accordion.js	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/js/accordion.js	(from https://boxerinu.finance/)
18:54:34	2184/2184	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2017%20Jun%202021%2019:23:24%20GMT	https://boxerinu.finance/js/slider.js	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/js/slider.js	(from https://boxerinu.finance/)
18:54:35	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a637bd4-1538f%22	https://code.jquery.com/jquery-3.3.1.min.js	C:/xampp/htdocs/boxer/boxern/code.jquery.com/jquery-3.3.1.min.js	(from https://boxerinu.finance/)
18:54:35	0/0	---M--	200	added ('OK')	application/javascript	date:Thu,%2017%20Jun%202021%2020:28:32%20GMT	https://boxerinu.finance/js/brand.js	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/js/brand.js	(from https://boxerinu.finance/)
18:54:36	85589/85589	---M-Z	200	added ('OK')	application/javascript	etag:W/%2256901603-14e55%22	https://code.jquery.com/jquery-2.2.0.min.js	C:/xampp/htdocs/boxer/boxern/code.jquery.com/jquery-2.2.0.min.js	(from https://boxerinu.finance/)
18:54:36	88955/88955	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2004%20Oct%202017%2000:49:28%20GMT	https://boxerinu.finance/slick-1.8.1/slick/slick.js	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/slick-1.8.1/slick/slick.js	(from https://boxerinu.finance/)
18:54:37	4178/4178	---M--	200	added ('OK')	image/gif	date:Wed,%2004%20Oct%202017%2000:49:28%20GMT	https://boxerinu.finance/slick-1.8.1/slick/ajax-loader.gif	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/slick-1.8.1/slick/ajax-loader.gif	(from https://boxerinu.finance/slick-1.8.1/slick/slick-theme.css)
18:54:38	2048/2048	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2004%20Oct%202017%2000:49:28%20GMT	https://boxerinu.finance/slick-1.8.1/slick/fonts/slick.eot	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/slick-1.8.1/slick/fonts/slick.eot	(from https://boxerinu.finance/slick-1.8.1/slick/slick-theme.css)
18:54:38	2048/2048	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2004%20Oct%202017%2000:49:28%20GMT	https://boxerinu.finance/slick-1.8.1/slick/fonts/slick.eot?	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/slick-1.8.1/slick/fonts/slickd41d.eot	(from https://boxerinu.finance/slick-1.8.1/slick/slick-theme.css)
18:54:39	1380/1380	---M--	200	added ('OK')	font/woff	date:Wed,%2004%20Oct%202017%2000:49:28%20GMT	https://boxerinu.finance/slick-1.8.1/slick/fonts/slick.woff	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/slick-1.8.1/slick/fonts/slick.woff	(from https://boxerinu.finance/slick-1.8.1/slick/slick-theme.css)
18:54:40	1892/1892	---MCZ	200	added ('OK')	font/ttf	date:Wed,%2004%20Oct%202017%2000:49:28%20GMT	https://boxerinu.finance/slick-1.8.1/slick/fonts/slick.ttf	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/slick-1.8.1/slick/fonts/slick.ttf	(from https://boxerinu.finance/slick-1.8.1/slick/slick-theme.css)
18:54:40	2152/2152	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2004%20Oct%202017%2000:49:28%20GMT	https://boxerinu.finance/slick-1.8.1/slick/fonts/slick.svg	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/slick-1.8.1/slick/fonts/slick.svg	(from https://boxerinu.finance/slick-1.8.1/slick/slick-theme.css)
18:54:41	5436/5436	---M--	200	added ('OK')	image/gif	etag:%223c7688e63b92d6be16a6365de051e909%22	https://i.stack.imgur.com/MnyxU.gif	C:/xampp/htdocs/boxer/boxern/i.stack.imgur.com/MnyxU.gif	(from https://boxerinu.finance/css/main.css)
18:54:42	1238/1238	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Jul%202021%2013:24:42%20GMT	https://boxerinu.finance/css/img/103b97ed-fb36-4887-b0b8-286b9104ac11.png	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/css/img/103b97ed-fb36-4887-b0b8-286b9104ac11.png	(from https://boxerinu.finance/css/main.css)
18:54:44	82415/82415	---M--	200	added ('OK')	image/gif	date:Thu,%2017%20Jun%202021%2002:17:10%20GMT	https://boxerinu.finance/img/preloading2.gif	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/img/preloading2.gif	(from https://boxerinu.finance/css/preloader.css)
18:54:45	811282/811282	---M--	200	added ('OK')	image/gif	date:Wed,%2016%20Jun%202021%2002:03:22%20GMT	https://boxerinu.finance/img/boxer_glove.gif	C:/xampp/htdocs/boxer/boxern/boxerinu.finance/img/boxer_glove.gif	(from https://boxerinu.finance/css/main.css)
